Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
JC274961,5/22/2019 20:00,014XX N WELLS ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,1821,18,27,8,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274355,5/22/2019 20:00,014XX S KEDZIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,FALSE,TRUE,1022,10,24,29,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274766,5/22/2019 20:00,081XX S MARSHFIELD AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,614,6,21,71,7,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275042,5/22/2019 20:00,062XX N HERMITAGE AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2433,24,40,77,6,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274730,5/22/2019 20:00,021XX N MEADE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,2512,25,36,19,26,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274800,5/22/2019 20:00,005XX W 46TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,925,9,11,61,14,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC275331,5/22/2019 20:00,048XX S WINCHESTER AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,FALSE,TRUE,931,9,15,61,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274364,5/22/2019 19:59,020XX E 83RD ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,414,4,8,46,18,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274326,5/22/2019 19:55,113XX S EDBROOKE AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,531,5,9,49,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274368,5/22/2019 19:55,069XX N KEDZIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,FALSE,2411,24,50,2,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274332,5/22/2019 19:50,011XX E 42ND PL,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,214,2,4,36,08B,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC274339,5/22/2019 19:45,003XX S PEORIA ST,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1232,12,25,28,08A,,,2019,5/29/2019 16:22,,,,,,,,,,,
JC277010,5/22/2019 19:45,012XX N WALLER AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,2531,25,29,25,26,,,2019,5/29/2019 16:22,,,,,,,,,,,
